tmid,SCIENTIFIC_NAME,TPA
291,Pinus taeda,424.01194800000036
1682,Nyssa sylvatica,455.80972600000007
1668,Acer rubrum,824.6180800000001
1029,Fagus grandifolia,149.93056
1873,Celtis laevigata,149.93056
1852,Carpinus caroliniana,548.8291440000002
1853,Liquidambar styraciflua,161.966652
1846,Acer rubrum,230.91388600000002
149,Pinus palustris,246.21929599999999
1019,Quercus nigra,299.86112
1389,Pinus taeda,195.32619999999997
1387,Pinus taeda,502.24654600000105
387,Pinus taeda,186.55942599999997
1391,Ilex opaca,224.89584000000002
836,Quercus rubra,74.96528
829,Carya alba,161.966652
472,Carpinus caroliniana,149.93056
449,Pinus taeda,516.5107760000004
470,Quercus lyrata,674.6875200000001
40,Carpinus caroliniana,80.983326
2038,Pinus taeda,576.1706460000001
638,Pinus taeda,222.66770199999996
247,Quercus laurifolia,674.6875200000001
777,Acer rubrum,80.983326
257,Pinus taeda,858.4982180000006
250,Nyssa sylvatica,149.93056
177,Liriodendron tulipifera,674.6875200000001
1186,Pinus taeda,264.273434
1831,Pinus taeda,480.4025000000003
1824,Pinus taeda,246.21929599999999
1829,Acer rubrum,299.86112
1882,Pinus taeda,541.1035500000008
1903,Quercus velutina,155.948606
1887,Acer rubrum,149.93056
657,Liriodendron tulipifera,335.9693960000001
665,Pinus taeda,252.75793199999995
720,Pinus taeda,954.2663640000005
694,Pinus taeda,652.1771060000007
529,Quercus nigra,54.16241399999999
520,Nyssa sylvatica,192.056882
671,Liquidambar styraciflua,155.948606
760,Pinus taeda,168.50528799999998
757,Quercus nigra,378.0957180000002
534,Nyssa sylvatica,524.75696
1929,Fagus grandifolia,74.96528
1927,Quercus nigra,186.038836
1341,Pinus taeda,162.48724199999998
1336,Quercus stellata,341.9874420000002
787,Quercus nigra,210.11102
781,Pinus taeda,343.0286220000003
1073,Quercus laurifolia,572.901328
592,Cercis canadensis,299.86112
1457,Quercus laurifolia,299.86112
962,Pinus taeda,435.52745000000016
1209,Nyssa sylvatica,386.86249200000003
1206,Liquidambar styraciflua,479.8819100000002
1667,Liquidambar styraciflua,716.8138420000001
1650,Quercus alba,380.84444600000006
1640,Pinus taeda,501.20536600000037
1672,Liquidambar styraciflua,87.001372
1646,Pinus taeda,180.54137999999998
2020,Carya glabra,449.79168000000004
964,Pinus taeda,300.38171
2001,Quercus nigra,599.72224
1654,Quercus nigra,842.6722180000002
1956,Pinus virginiana,609.0096040000003
1960,Pinus taeda,363.83148800000043
1974,Acer rubrum,161.966652
1977,Quercus nigra,761.6888920000001
1053,Pinus taeda,72.216552
1055,Pinus taeda,84.25264399999999
1392,Liquidambar styraciflua,386.86249200000003
1377,Pinus taeda,398.898584
1402,Pinus taeda,306.3997560000002
365,Quercus nigra,141.16378600000002
2096,Ilex opaca,374.82640000000004
448,Pinus taeda,162.48724199999998
447,Pinus taeda,559.157688000001
1530,Liquidambar styraciflua,311.8972120000001
507,Acer negundo,192.056882
1520,Pinus taeda,192.57747199999997
468,Quercus lyrata,42.126321999999995
1177,Quercus rubra,224.89584000000002
920,Prunus serotina,473.86386400000015
79,Magnolia virginiana,560.8652360000001
53,Magnolia virginiana,144.433104
65,Pinus palustris,270.29148000000004
348,Ostrya virginiana,611.7583320000001
1116,Tilia americana,149.93056
1446,Liquidambar styraciflua,236.93193200000002
1910,Liquidambar styraciflua,279.05825400000003
297,Liquidambar styraciflua,485.8999560000001
197,Pinus taeda,477.6537720000003
1847,Ulmus alata,305.87916600000005
1841,Acer rubrum,674.6875200000001
417,Pinus taeda,374.82640000000004
610,Liriodendron tulipifera,984.3565940000009
769,Liriodendron tulipifera,204.092974
30,Fraxinus pennsylvanica,348.00548800000007
278,Liquidambar styraciflua,503.9540940000003
714,Quercus virginiana,524.75696
1429,Pinus taeda,433.2993120000007
933,Quercus nigra,416.95272200000005
1591,Pinus taeda,597.4941020000006
1005,Magnolia virginiana,422.9707680000001
845,Celtis laevigata,111.073556
1821,Acer rubrum,230.91388600000002
662,Quercus nigra,824.6180800000001
1915,Liquidambar styraciflua,242.94997800000002
1989,Quercus alba,99.037464
436,Pinus taeda,692.7416580000001
14,Pinus taeda,561.9064160000004
1874,Cercis canadensis,449.79168000000004
607,Ostrya virginiana,224.89584000000002
1434,Prunus serotina,311.8972120000001
1215,Sassafras albidum,449.79168000000004
1225,Pinus taeda,582.1886920000004
1207,Nyssa biflora,983.8360040000005
422,Liquidambar styraciflua,1349.37504
404,Pinus taeda,240.72183999999996
611,Acer rubrum,149.93056
954,Quercus nigra,461.82777200000004
1219,Pinus taeda,534.5649140000005
1676,Liquidambar styraciflua,449.79168000000004
1677,Pinus taeda,305.87916600000005
1675,Acer rubrum,155.948606
987,Acer negundo,305.87916600000005
1431,Pinus taeda,321.70516600000025
1422,Pinus taeda,237.452522
397,Oxydendrum arboreum,392.88053800000006
424,Acer rubrum,1055.531966
2049,Nyssa sylvatica,1403.5374539999991
1678,Liquidambar styraciflua,530.7750060000001
1038,Quercus nigra,374.82640000000004
1866,Juniperus virginiana,393.4011280000003
1868,Quercus nigra,749.6528000000001
423,Quercus nigra,761.6888920000001
2148,Liquidambar styraciflua,305.87916600000005
1418,Pinus virginiana,561.3858260000006
1961,Cornus florida,305.87916600000005
2002,Acer rubrum,254.98607
1679,Liquidambar styraciflua,605.7402860000001
1661,Quercus nigra,824.6180800000001
1483,Nyssa sylvatica,36.108276
1498,Pinus palustris,879.3010840000004
1491,Pinus elliottii,180.02079
1245,Juniperus virginiana,189.30815399999997
1254,Acer rubrum,317.915258
1259,Quercus prinus,210.11102
2136,Nyssa sylvatica,224.89584000000002
505,Pinus taeda,1016.6749620000002
421,Liquidambar styraciflua,1049.51392
410,Liriodendron tulipifera,174.002744
483,Quercus nigra,305.87916600000005
2082,Pinus elliottii,240.20125
1493,Quercus nigra,155.948606
1056,Fraxinus pennsylvanica,299.86112
1021,Liquidambar styraciflua,702.0290220000005
1412,Pinus taeda,438.79676800000044
1385,Liquidambar styraciflua,770.9762560000004
499,Liquidambar styraciflua,161.966652
2028,Liquidambar styraciflua,329.95135000000005
2029,Pinus taeda,96.28873599999999
1995,Carpinus caroliniana,524.75696
1993,Liriodendron tulipifera,167.984698
1251,Nyssa sylvatica,149.93056
2146,Quercus alba,102.30678199999998
1257,Quercus alba,261.004116
2153,Carya alba,149.93056
2133,Magnolia macrophylla,149.93056
1489,Pinus palustris,959.7638200000004
1467,Quercus laurifolia,3004.6292459999972
488,Pinus taeda,798.8383480000009
455,Pinus taeda,261.004116
466,Ostrya virginiana,449.79168000000004
500,Pinus taeda,192.57747199999997
433,Pinus taeda,758.9401640000001
2079,Magnolia virginiana,150.45114999999998
2064,Pinus taeda,201.344246
1475,Magnolia virginiana,111.073556
55,Quercus lyrata,87.001372
1047,Nyssa biflora,393.40112800000026
1061,Cornus florida,299.86112
1405,Pinus taeda,686.723612
1403,Pinus taeda,1880.1500459999988
1996,Pinus taeda,543.3316880000003
154,Liquidambar styraciflua,236.93193200000002
